Disponummer;Einsatznummer;Einheit;Zeit Status DP;Latitude Disposition;Longitude Disposition;Zeit Status 1;Latitude Status 1;Longitude Status 1;Zeit Status 2;Latitude Status 2;Longitude Status 2;Zeit Status 3;Latitude Status 3;Longitude Status 3;Zeit Status 4;Latitude Status 4;Longitude Status 4
D22087458;S22122175;REGA_1;20220815150809UT;47.395956;8.637702;20220815150909UT;47.39595583;8.637702055;20220815152120UT;47.39595583;8.637702055;20220815155230UT;47.39595583;8.637702055;20220815161505UT;47.37213399;8.557430305
D22087519;S22122274;REGA_1;20220815185122UT;47.395956;8.637702;20220815185304UT;47.39595583;8.637702055;20220815190402UT;47.39595583;8.637702055;20220815192651UT;47.39595583;8.637702055;20220815194526UT;47.42984372;9.393868451
D22087785;S22122672;REGA_1;20220816135016UT;47.395956;8.637702;20220816135130UT;47.39595583;8.637702055;20220816140710UT;47.119875;8.60651;20220816142319UT;47.119875;8.60651;20220816143129UT;47.066392;8.327905
D22087833;S22122752;REGA_1;20220816161702UT;47.395956;8.637702;20220816161838UT;47.39595583;8.637702055;20220816163638UT;47.684625;8.621056;20220816164716UT;47.684625;8.621056;20220816170223UT;47.50737809;8.727537848
D22087855;S22122794;REGA_1;20220816172542UT;47.395956;8.637702;20220816172726UT;47.39595583;8.637702055;20220816173947UT;47.39595583;8.637702055;20220816181954UT;47.39595583;8.637702055;20220816183606UT;47.42990244;9.394118483
D22088177;S22123290;REGA_1;20220817150430UT;47.395956;8.637702;20220817150535UT;47.39595583;8.637702055;20220817152133UT;47.701623;8.626231;20220817154406UT;47.701623;8.626231;20220817155531UT;47.37213381;8.557430454
D22088461;S22123757;REGA_1;20220818114516UT;47.395956;8.637702;20220818114642UT;47.39595583;8.637702055;20220818120255UT;47.713075;8.63982;20220818123149UT;47.711762;8.635448;20220818124340UT;47.36611536;8.49667381
D22088582;S22123937;REGA_1;20220818175957UT;47.395956;8.637702;20220818180121UT;47.39595583;8.637702055;20220818181348UT;47.593445;8.490966;20220818182519UT;47.593445;8.490966;20220818183324UT;47.37730968;8.550528292
D22088994;S22124615;REGA_1;20220819214350UT;47.395956;8.637702;20220819214606UT;47.39595583;8.637702055;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL;NULL
D22089095;S22124781;REGA_1;20220820084735UT;47.395956;8.637702;20220820084828UT;47.39595583;8.637702055;20220820085854UT;47.584697;8.530903;NULL;NULL;NULL;NULL;NULL;NULL
D22089197;S22124927;REGA_1;20220820133042UT;47.395956;8.637702;20220820133132UT;47.39595583;8.637702055;20220820134127UT;47.447037;8.417233;20220820140406UT;47.44772;8.409005;20220820140857UT;47.37730968;8.550528292
